#TimeHarp 260  Histogram Data			10/29/2020 04:57:02 PM
#channels per curve
32768
#display curve no.
0	1	
#memory block no.
0	1	
#ns/bin
1.0000	1.0000	
#counts
8	0	
10	0	
8	0	
5	0	
8	0	
7	0	
14	0	
7	0	
4	0	
8	0	
7	0	
5	0	
12	0	
6	0	
11	0	
7	0	
9	0	
9	0	
11	0	
10	0	
14	0	
9	0	
8	0	
12	0	
7	0	
8	0	
4	0	
4	0	
7	0	
11	0	
12	0	
8	0	
11	0	
9	0	
6	0	
7	0	
8	0	
14	0	
9	0	
14	0	
12	0	
7	0	
6	0	
10	0	
13	0	
9	0	
10	0	
7	0	
10	0	
5	0	
15	0	
6	0	
6	0	
7	0	
8	0	
4	0	
12	0	
15	0	
5	0	
7	0	
12	0	
6	0	
11	0	
9	0	
12	0	
10	0	
9	0	
11	0	
7	0	
6	0	
13	0	
8	0	
10	0	
9	0	
13	0	
7	0	
7	0	
9	0	
6	0	
9	0	
7	0	
6	0	
11	0	
11	0	
7	0	
10	0	
7	0	
15	0	
10	0	
7	0	
12	0	
5	0	
11	0	
5	0	
7	0	
8	0	
10	0	
9	0	
15	0	
10	0	
9	0	
9	0	
6	0	
11	0	
8	0	
7	0	
14	0	
11	0	
8	0	
10	0	
5	0	
11	0	
9	0	
9	0	
10	0	
3	0	
10	0	
6	0	
6	0	
7	0	
5	0	
3	0	
10	0	
8	0	
11	0	
5	0	
7	0	
11	0	
5	0	
14	0	
10	0	
10	0	
7	0	
9	0	
9	0	
7	0	
12	0	
9	0	
11	0	
5	0	
6	0	
8	0	
7	0	
10	0	
12	0	
12	0	
11	0	
2	0	
7	0	
9	0	
10	0	
12	0	
4	0	
7	0	
10	0	
14	0	
13	0	
11	0	
9	0	
11	0	
4	0	
14	0	
5	0	
7	0	
6	0	
3	0	
8	0	
13	0	
15	0	
8	0	
7	0	
8	0	
12	0	
7	0	
3	0	
7	0	
9	0	
8	0	
12	0	
6	0	
12	0	
10	0	
2	0	
6	0	
8	0	
7	0	
10	0	
4	0	
7	0	
7	0	
10	0	
7	0	
11	0	
6	0	
8	0	
11	0	
11	0	
12	0	
13	0	
6	0	
8	0	
7	0	
7	0	
12	0	
10	0	
5	0	
6	0	
6	0	
11	0	
8	0	
14	0	
11	0	
15	0	
